$,$,$
Pulpone & Loris,5500,1
Pulpone & Loris,5995,47
Pulpone & Loris,5436,17
Pulpone & Loris,7351,34
Pulpone & Loris,6572,24
Pulpone & Loris,7017,95
Pulpone & Loris,4896,3
$,$,$
Pier,133,16
Pier,6462,8
Pier,4485,2
Pier,6867,12
Pier,4657,11
Pier,7131,1
Pier,2296,28
Pier,4401,3
Pier,1852,16
Pier,5982,13
Pier,7529,1
Pier,4777,61
Pier,2379,43
Pier,2766,28
Pier,4892,12
Pier,7618,1
Pier,7129,1
Pier,6010,1
Pier,5791,1
Pier,2097,71
Pier,6752,111
Pier,6435,45
Pier,7484,5
Pier,5029,1
Pier,7620,1
$,$,$
Martinelli,6482,14
Martinelli,7332,2
Martinelli,7337,1
Martinelli,7181,35
Martinelli,6727,17
Martinelli,4409,24
Martinelli,5526,12
Martinelli,7599,4
Martinelli,6672,1
Martinelli,5578,1
Martinelli,5739,1
Martinelli,2517,45
Martinelli,4436,16
Martinelli,6372,26
Martinelli,530,1
Martinelli,6783,4
Martinelli,2077,1
Martinelli,7060,1
Martinelli,6398,1
Martinelli,6052,204
Martinelli,4923,12
Martinelli,6675,23
Martinelli,5694,18
Martinelli,6646,9
Martinelli,4371,24
$,$,$
Sirbu,4431,47
Sirbu,4236,3
Sirbu,4,1
Sirbu,4159,29
Sirbu,6660,2
Sirbu,7069,3
Sirbu,6664,6
Sirbu,6869,20
Sirbu,7294,6
Sirbu,4845,1
Sirbu,5751,1
Sirbu,2194,73
Sirbu,6190,4
Sirbu,6908,20
Sirbu,7036,1
Sirbu,5800,15
Sirbu,4856,8
Sirbu,7311,1
Sirbu,4911,2
Sirbu,4359,20
Sirbu,7347,5
Sirbu,6229,9
Sirbu,7071,88
Sirbu,6434,42
Sirbu,5637,86
$,$,$
Penio & Mirsel,572,34
Penio & Mirsel,2170,4
Penio & Mirsel,6415,3
Penio & Mirsel,7469,5
Penio & Mirsel,2514,7
Penio & Mirsel,5514,5
Penio & Mirsel,4502,2
Penio & Mirsel,6042,9
Penio & Mirsel,6531,5
Penio & Mirsel,7219,9
Penio & Mirsel,4994,10
Penio & Mirsel,6684,20
Penio & Mirsel,7535,7
Penio & Mirsel,4220,7
Penio & Mirsel,5858,4
Penio & Mirsel,1933,12
Penio & Mirsel,5792,21
Penio & Mirsel,184,26
Penio & Mirsel,4179,10
Penio & Mirsel,5585,222
Penio & Mirsel,6519,1
Penio & Mirsel,6967,70
Penio & Mirsel,7120,1
Penio & Mirsel,7600,5
Penio & Mirsel,7374,1
$,$,$
Potty,4312,56
Potty,6662,1
Potty,6813,1
Potty,254,61
Potty,5620,6
Potty,5831,1
Potty,4433,1
Potty,5520,5
Potty,5555,8
Potty,256,1
Potty,4137,1
Potty,4973,26
Potty,2167,45
Potty,2606,12
Potty,5119,17
Potty,7070,3
Potty,6618,2
Potty,6294,1
Potty,7223,1
Potty,2137,87
Potty,309,130
Potty,4463,3
Potty,7023,28
Potty,608,1
Potty,6556,1
$,$,$
Maicol & Matteo,5841,52
Maicol & Matteo,610,1
Maicol & Matteo,7301,1
Maicol & Matteo,5877,8
Maicol & Matteo,6217,23
Maicol & Matteo,554,11
Maicol & Matteo,6956,26
Maicol & Matteo,5022,23
Maicol & Matteo,4887,4
Maicol & Matteo,7329,1
Maicol & Matteo,7580,1
Maicol & Matteo,2423,65
Maicol & Matteo,2741,2
Maicol & Matteo,5687,19
Maicol & Matteo,7078,25
Maicol & Matteo,5823,4
Maicol & Matteo,5878,2
Maicol & Matteo,5172,7
Maicol & Matteo,4364,1
Maicol & Matteo,4871,175
Maicol & Matteo,6060,20
Maicol & Matteo,6904,4
Maicol & Matteo,7554,1
Maicol & Matteo,2832,6
Maicol & Matteo,6669,7
$,$,$
